run, program, qubits, run time, number_of_transformations
65, var_q2_02_R, 2, 0.02021312713623047, 3
66, var_q2_02_R, 2, 0.020716190338134766, 3
67, var_q2_02_R, 2, 0.020212173461914062, 3
68, var_q2_02_R, 2, 0.020331382751464844, 3
69, var_q2_02_R, 2, 0.02052164077758789, 3
70, var_q2_02_R, 2, 0.021336078643798828, 3
71, var_q2_02_R, 2, 0.020834922790527344, 3
72, var_q2_02_R, 2, 0.020357370376586914, 3
73, var_q2_02_R, 2, 0.020455598831176758, 3
74, var_q2_02_R, 2, 0.020302772521972656, 3
75, var_q2_02_R, 2, 0.02099442481994629, 3
76, var_q2_02_R, 2, 0.020375490188598633, 3
77, var_q2_02_R, 2, 0.02025604248046875, 3
78, var_q2_02_R, 2, 0.02054142951965332, 3
79, var_q2_02_R, 2, 0.02044510841369629, 3
80, var_q2_02_R, 2, 0.02113056182861328, 3
81, var_q2_02_R, 2, 0.02016162872314453, 3
82, var_q2_02_R, 2, 0.02048349380493164, 3
83, var_q2_02_R, 2, 0.020448923110961914, 3
84, var_q2_02_R, 2, 0.020630598068237305, 3
85, var_q2_02_R, 2, 0.020659446716308594, 3
86, var_q2_02_R, 2, 0.020503520965576172, 3
87, var_q2_02_R, 2, 0.020656824111938477, 3
88, var_q2_02_R, 2, 0.020406007766723633, 3
89, var_q2_02_R, 2, 0.020516395568847656, 3
90, var_q2_02_R, 2, 0.02051854133605957, 3
91, var_q2_02_R, 2, 0.020689964294433594, 3
92, var_q2_02_R, 2, 0.02053976058959961, 3
93, var_q2_02_R, 2, 0.020573854446411133, 3
94, var_q2_02_R, 2, 0.02074742317199707, 3
95, var_q2_02_R, 2, 0.02049422264099121, 3
96, var_q2_02_R, 2, 0.020463228225708008, 3
97, var_q2_02_R, 2, 0.020246028900146484, 3
98, var_q2_02_R, 2, 0.020586013793945312, 3
99, var_q2_02_R, 2, 0.02369546890258789, 3
0, var_q2_03_R, 2, 0.024428844451904297, 3
1, var_q2_03_R, 2, 0.021013736724853516, 3
2, var_q2_03_R, 2, 0.021251916885375977, 3
3, var_q2_03_R, 2, 0.02140212059020996, 3
4, var_q2_03_R, 2, 0.021298885345458984, 3
5, var_q2_03_R, 2, 0.021659374237060547, 3
6, var_q2_03_R, 2, 0.021263599395751953, 3
7, var_q2_03_R, 2, 0.02071857452392578, 3
8, var_q2_03_R, 2, 0.020940065383911133, 3
9, var_q2_03_R, 2, 0.021633625030517578, 3
10, var_q2_03_R, 2, 0.021399259567260742, 3
11, var_q2_03_R, 2, 0.02131032943725586, 3
12, var_q2_03_R, 2, 0.021191120147705078, 3
13, var_q2_03_R, 2, 0.02134394645690918, 3
14, var_q2_03_R, 2, 0.021109580993652344, 3
15, var_q2_03_R, 2, 0.02100062370300293, 3
16, var_q2_03_R, 2, 0.021483659744262695, 3
17, var_q2_03_R, 2, 0.021279573440551758, 3
18, var_q2_03_R, 2, 0.02098846435546875, 3
19, var_q2_03_R, 2, 0.021158695220947266, 3
20, var_q2_03_R, 2, 0.020778179168701172, 3
21, var_q2_03_R, 2, 0.02134227752685547, 3
22, var_q2_03_R, 2, 0.021106958389282227, 3
23, var_q2_03_R, 2, 0.024584293365478516, 3
24, var_q2_03_R, 2, 0.021239757537841797, 3
25, var_q2_03_R, 2, 0.021329164505004883, 3
26, var_q2_03_R, 2, 0.021077394485473633, 3
27, var_q2_03_R, 2, 0.02160501480102539, 3
28, var_q2_03_R, 2, 0.021039962768554688, 3
29, var_q2_03_R, 2, 0.021474838256835938, 3
30, var_q2_03_R, 2, 0.021067380905151367, 3
31, var_q2_03_R, 2, 0.021054983139038086, 3
32, var_q2_03_R, 2, 0.02139592170715332, 3
33, var_q2_03_R, 2, 0.02153158187866211, 3
34, var_q2_03_R, 2, 0.02122950553894043, 3
35, var_q2_03_R, 2, 0.021197795867919922, 3
36, var_q2_03_R, 2, 0.021094560623168945, 3
37, var_q2_03_R, 2, 0.021227121353149414, 3
38, var_q2_03_R, 2, 0.020859241485595703, 3
39, var_q2_03_R, 2, 0.021232128143310547, 3
40, var_q2_03_R, 2, 0.021283626556396484, 3
41, var_q2_03_R, 2, 0.021302223205566406, 3
42, var_q2_03_R, 2, 0.020822525024414062, 3
43, var_q2_03_R, 2, 0.02123570442199707, 3
44, var_q2_03_R, 2, 0.021442651748657227, 3
45, var_q2_03_R, 2, 0.021319150924682617, 3
46, var_q2_03_R, 2, 0.021574735641479492, 3
47, var_q2_03_R, 2, 0.02164936065673828, 3
48, var_q2_03_R, 2, 0.021657466888427734, 3
