run, program, qubits, run time, number_of_transformations
97, var_q2_01_R, 2, 0.02076101303100586, 3
98, var_q2_01_R, 2, 0.020295143127441406, 3
99, var_q2_01_R, 2, 0.02440500259399414, 3
0, var_q2_02_R, 2, 0.02295660972595215, 3
1, var_q2_02_R, 2, 0.02033090591430664, 3
2, var_q2_02_R, 2, 0.02011251449584961, 3
3, var_q2_02_R, 2, 0.020273208618164062, 3
4, var_q2_02_R, 2, 0.02058863639831543, 3
5, var_q2_02_R, 2, 0.020410537719726562, 3
6, var_q2_02_R, 2, 0.020371437072753906, 3
7, var_q2_02_R, 2, 0.02012467384338379, 3
8, var_q2_02_R, 2, 0.020071983337402344, 3
9, var_q2_02_R, 2, 0.020414113998413086, 3
10, var_q2_02_R, 2, 0.020376920700073242, 3
11, var_q2_02_R, 2, 0.020331382751464844, 3
12, var_q2_02_R, 2, 0.02060699462890625, 3
13, var_q2_02_R, 2, 0.02015399932861328, 3
14, var_q2_02_R, 2, 0.02089524269104004, 3
15, var_q2_02_R, 2, 0.02049732208251953, 3
16, var_q2_02_R, 2, 0.020282506942749023, 3
17, var_q2_02_R, 2, 0.020418643951416016, 3
18, var_q2_02_R, 2, 0.020662784576416016, 3
19, var_q2_02_R, 2, 0.020763397216796875, 3
20, var_q2_02_R, 2, 0.020339012145996094, 3
21, var_q2_02_R, 2, 0.02074265480041504, 3
22, var_q2_02_R, 2, 0.020787477493286133, 3
23, var_q2_02_R, 2, 0.020177602767944336, 3
24, var_q2_02_R, 2, 0.0200958251953125, 3
25, var_q2_02_R, 2, 0.020247697830200195, 3
26, var_q2_02_R, 2, 0.0208432674407959, 3
27, var_q2_02_R, 2, 0.020616531372070312, 3
28, var_q2_02_R, 2, 0.02033543586730957, 3
29, var_q2_02_R, 2, 0.020769119262695312, 3
30, var_q2_02_R, 2, 0.020471572875976562, 3
31, var_q2_02_R, 2, 0.02068352699279785, 3
32, var_q2_02_R, 2, 0.01997828483581543, 3
33, var_q2_02_R, 2, 0.020244836807250977, 3
34, var_q2_02_R, 2, 0.02065730094909668, 3
35, var_q2_02_R, 2, 0.020168304443359375, 3
36, var_q2_02_R, 2, 0.020200729370117188, 3
37, var_q2_02_R, 2, 0.020528316497802734, 3
38, var_q2_02_R, 2, 0.020618200302124023, 3
39, var_q2_02_R, 2, 0.02031683921813965, 3
40, var_q2_02_R, 2, 0.02051067352294922, 3
41, var_q2_02_R, 2, 0.020183563232421875, 3
42, var_q2_02_R, 2, 0.020138263702392578, 3
43, var_q2_02_R, 2, 0.020538806915283203, 3
44, var_q2_02_R, 2, 0.02011847496032715, 3
45, var_q2_02_R, 2, 0.020434856414794922, 3
46, var_q2_02_R, 2, 0.020274877548217773, 3
47, var_q2_02_R, 2, 0.0201568603515625, 3
48, var_q2_02_R, 2, 0.020228862762451172, 3
49, var_q2_02_R, 2, 0.020287752151489258, 3
50, var_q2_02_R, 2, 0.019913673400878906, 3
51, var_q2_02_R, 2, 0.02332472801208496, 3
52, var_q2_02_R, 2, 0.020409822463989258, 3
53, var_q2_02_R, 2, 0.02028822898864746, 3
54, var_q2_02_R, 2, 0.020299196243286133, 3
55, var_q2_02_R, 2, 0.020383596420288086, 3
56, var_q2_02_R, 2, 0.020148277282714844, 3
57, var_q2_02_R, 2, 0.020700931549072266, 3
58, var_q2_02_R, 2, 0.020615100860595703, 3
59, var_q2_02_R, 2, 0.020382165908813477, 3
60, var_q2_02_R, 2, 0.020122766494750977, 3
61, var_q2_02_R, 2, 0.020331859588623047, 3
62, var_q2_02_R, 2, 0.020639657974243164, 3
63, var_q2_02_R, 2, 0.020099401473999023, 3
64, var_q2_02_R, 2, 0.020679235458374023, 3
65, var_q2_02_R, 2, 0.02033257484436035, 3
66, var_q2_02_R, 2, 0.020139694213867188, 3
67, var_q2_02_R, 2, 0.019853591918945312, 3
68, var_q2_02_R, 2, 0.02017974853515625, 3
69, var_q2_02_R, 2, 0.02019500732421875, 3
70, var_q2_02_R, 2, 0.019999980926513672, 3
71, var_q2_02_R, 2, 0.020474910736083984, 3
72, var_q2_02_R, 2, 0.020045995712280273, 3
73, var_q2_02_R, 2, 0.019844770431518555, 3
74, var_q2_02_R, 2, 0.019901752471923828, 3
75, var_q2_02_R, 2, 0.02011704444885254, 3
76, var_q2_02_R, 2, 0.020322561264038086, 3
77, var_q2_02_R, 2, 0.020496368408203125, 3
78, var_q2_02_R, 2, 0.020355224609375, 3
79, var_q2_02_R, 2, 0.020704269409179688, 3
80, var_q2_02_R, 2, 0.02035236358642578, 3
81, var_q2_02_R, 2, 0.02023172378540039, 3
82, var_q2_02_R, 2, 0.020489215850830078, 3
83, var_q2_02_R, 2, 0.020311832427978516, 3
84, var_q2_02_R, 2, 0.02003169059753418, 3
85, var_q2_02_R, 2, 0.01990032196044922, 3
86, var_q2_02_R, 2, 0.02062082290649414, 3
87, var_q2_02_R, 2, 0.020311832427978516, 3
88, var_q2_02_R, 2, 0.020347118377685547, 3
89, var_q2_02_R, 2, 0.02020430564880371, 3
90, var_q2_02_R, 2, 0.020020484924316406, 3
91, var_q2_02_R, 2, 0.020088672637939453, 3
92, var_q2_02_R, 2, 0.020351171493530273, 3
93, var_q2_02_R, 2, 0.02058267593383789, 3
94, var_q2_02_R, 2, 0.020459890365600586, 3
95, var_q2_02_R, 2, 0.019893884658813477, 3
96, var_q2_02_R, 2, 0.02058243751525879, 3
97, var_q2_02_R, 2, 0.02026653289794922, 3
98, var_q2_02_R, 2, 0.02044963836669922, 3
99, var_q2_02_R, 2, 0.02406477928161621, 3
0, var_q2_03_R, 2, 0.02250361442565918, 3
1, var_q2_03_R, 2, 0.020587682723999023, 3
2, var_q2_03_R, 2, 0.020314931869506836, 3
3, var_q2_03_R, 2, 0.0207827091217041, 3
4, var_q2_03_R, 2, 0.020285367965698242, 3
5, var_q2_03_R, 2, 0.02030491828918457, 3
6, var_q2_03_R, 2, 0.01995849609375, 3
7, var_q2_03_R, 2, 0.020670652389526367, 3
8, var_q2_03_R, 2, 0.020141124725341797, 3
9, var_q2_03_R, 2, 0.020396709442138672, 3
10, var_q2_03_R, 2, 0.0202789306640625, 3
11, var_q2_03_R, 2, 0.020364046096801758, 3
